epoch,loss,step
0,2.369102716445923,49
0,2.229456901550293,99
0,2.2015838623046875,149
0,2.962423801422119,199
0,2.1700685024261475,249
0,2.6844329833984375,299
0,2.175774335861206,349
0,2.4971249103546143,399
0,2.4370036125183105,449
0,3.1323721408843994,499
0,2.2781267166137695,549
0,2.3874635696411133,599
0,2.8875277042388916,649
0,2.9367291927337646,699
0,2.353027582168579,749
0,1.8584657907485962,799
0,2.1680243015289307,849
0,2.1542675495147705,899
0,1.8306028842926025,949
0,2.0287890434265137,999
0,1.753556489944458,1049
0,2.365447998046875,1099
0,1.8806239366531372,1149
0,2.178842306137085,1199
0,2.966130256652832,1249
0,2.07307505607605,1299
0,2.270951747894287,1349
0,2.2358858585357666,1399
0,1.8900820016860962,1449
0,2.281494379043579,1499
0,1.8230829238891602,1549
0,1.9500335454940796,1599
0,2.6993606090545654,1649
0,1.5443782806396484,1699
0,1.2439128160476685,1749
0,2.0017576217651367,1799
0,1.8888895511627197,1849
0,2.3274950981140137,1899
0,1.8438767194747925,1949
0,2.0146727561950684,1999
0,2.528590202331543,2049
0,2.404451608657837,2099
0,3.1462624073028564,2149
0,2.86942720413208,2199
0,2.6428728103637695,2249
0,3.016693592071533,2299
0,2.4123318195343018,2349
0,2.0160763263702393,2399
0,2.7666661739349365,2449
0,2.243922710418701,2499
